"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0.0110583344298661,0.00566702924085084,4.28593359446319e-05,0.000198611824898208,0.737215439747975,0.245817725420466
"1",0.0784145376933981,0.0551960169396337,0.00484867736173915,0.0123620410363297,0.403646760148914,0.445531966819986
"2",0.0330986605886201,0.0377001509128151,0.00228201488844437,0.0499580001722336,0.172762348978033,0.704198824459854
"3",0.100274291505057,0.0916256150206191,0.00191738885094347,0.148073053346278,0.099152950566273,0.558956700710829
"7",0.0494036551778478,0.48588099660334,0.0296575681468934,0.0896310589368109,0.269272594705079,0.0761541264300285
"8",0.10101885962922,0.290926111504658,0.0162748228033196,0.0782613956476806,0.265614411378736,0.247904399036386
"9",0.0729453689267516,0.406087969595595,0.0668061574497594,0.0892498506502407,0.188985087534545,0.175925565843109
"10",0.117900022922405,0.449528253873648,0.036659377807157,0.0940698512483447,0.127500248001498,0.174342246146947
"14",0.064678456203304,0.559438251968216,0.0274122751603768,0.117236096896075,0.116867392758091,0.114367527013938
"15",0.0607706578324999,0.516203794094511,0.0253838495562521,0.085306449184702,0.16765801437411,0.144677234957925
"16",0.04015387566729,0.579655471264727,0.033192355297488,0.103682907721367,0.122966242945847,0.120349147103281
"17",0.0488688675174737,0.514260175671282,0.0233784204442446,0.0884538052146783,0.192324893357032,0.132713837795289
"21",0.0296009042202968,0.561814118663874,0.028260561094737,0.107271116068868,0.12093822692636,0.152115073025865
"22",0.0381335575089391,0.61837487131414,0.0277059080997008,0.0932522789051058,0.133106605564676,0.0894267786074381
"23",0.0528671228442049,0.573152147987026,0.0263675214948626,0.129396404816761,0.108338075923816,0.109878726933329
"24",0.0282242547428437,0.679894826272474,0.0371895473043648,0.0587465323320259,0.112939369206457,0.0830054701418341
"28",0.0300140799457701,0.477331284908756,0.0328554455762542,0.0751313926694088,0.0970113904856096,0.287656406414201
"29",0.0423551972307903,0.523338757397654,0.0306600604010161,0.0897964097163298,0.154967454306434,0.158882120947776
"30",0.0359619401186369,0.564947030222949,0.0403205679671179,0.0604382985869419,0.177821973775764,0.120510189328591
"31",0.0268152924290819,0.411832317384677,0.0111782289955216,0.0211559283744494,0.418146207834813,0.110872024981457
"35",0.0427683044481706,0.551017751212887,0.0266275725858089,0.0528121418286771,0.232951427392387,0.0938228025320688
"36",0.0273349797299918,0.623765504971003,0.0305018221817748,0.050978866556567,0.125433266009856,0.141985560550807
"37",0.0215676935434936,0.671529023219267,0.0227005634317323,0.0690601286185326,0.0749422932268825,0.140200297960091
"38",0.0161881016171601,0.469093539704855,0.00857165911741067,0.0221661436813639,0.0297227522675001,0.45425780361171
"42",0.042203631934797,0.559266771300898,0.0161120622784095,0.0599442922848047,0.0904000798822541,0.232073162318837
"43",0.0313988919142232,0.573780492099175,0.0296905924315746,0.05346295583011,0.10774817250968,0.203918895215238
"44",0.0265862960119827,0.591421997139608,0.0250911184227476,0.0422634859656813,0.111674017288647,0.202963085171333
"45",0.0274563911058084,0.578820967172405,0.0129733933752709,0.030112080530448,0.145802178981441,0.204834988834626
"49",0.104667891408017,0.606750794266888,0.027056498645514,0.0686913204085477,0.0729756656049287,0.119857829666104
"50",0.105532577948528,0.502221422740657,0.0459359314636596,0.100093449834336,0.133167324534397,0.113049293478422
"51",0.0865379130013211,0.481032814681629,0.0525953267021793,0.0406302875283027,0.216065346609451,0.123138311477116
"52",0.115409657221038,0.625493988267439,0.0248102858047355,0.0214294868718906,0.0408403471477604,0.172016234687136
"56",0.0422393616078765,0.596115507923153,0.0271909449191649,0.0523845160840612,0.128995895768725,0.153073773697019
"57",0.073815612712727,0.623142720400755,0.0471447198138214,0.0558819652541994,0.0792729818046873,0.120742000013809
"58",0.0664474625638375,0.537709591360898,0.0202106743998678,0.0374893755824798,0.0553509773234321,0.282791918769485
