"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0.00579066373125891,0.00586533658392613,2.54828487419602e-05,0.00240959990534841,0.729329039939111,0.256579876991614
"1",0.0848157294089796,0.0722436061633473,0.00437359233748229,0.0281570700663865,0.364957789177319,0.445452212846485
"2",0.0223326770621521,0.048578188231037,0.00248541137379885,0.0577303684722471,0.170952575554587,0.697920779306178
"3",0.0964261513149388,0.124253675232009,0.00136925466764556,0.145722160845869,0.0921957834158328,0.540032974523705
"7",0.0429018296201693,0.491090037255166,0.0226645187502963,0.097989479297289,0.267923944095826,0.0774301909812537
"8",0.0901601837063332,0.321137185788936,0.0141904823299603,0.0798236110552482,0.240731787756621,0.253956749362901
"9",0.0597103240679066,0.425744924038799,0.0435379487539101,0.0853657493081478,0.197660921565155,0.187980132266082
"10",0.103936231741105,0.497863960929811,0.0233470348426916,0.0894225837645271,0.125636891269215,0.15979329745265
"14",0.0622063053652979,0.579052144608181,0.013054261494347,0.115143870386076,0.109580953026799,0.120962465119299
"15",0.046410669038167,0.552076566648314,0.016623577791094,0.0831738113067925,0.165034378684525,0.136680996531108
"16",0.0368515413487564,0.585990229014279,0.0173053536745554,0.103020616302055,0.135524179816059,0.121308079844295
"17",0.0594331821870288,0.541122981899685,0.0164031272374612,0.0797815411619722,0.16110049556934,0.142158671944513
"21",0.0271829236348289,0.580401887295893,0.0198763375494165,0.0982860352490199,0.12892217070726,0.145330645563582
"22",0.0374339945505239,0.647502298970998,0.0155448206763481,0.0815812118564688,0.128891252184401,0.0890464217612604
"23",0.0582265641960555,0.597957819732308,0.014350783765675,0.11392500330828,0.105703011937444,0.109836817060238
"24",0.0316752590879012,0.696613977785443,0.018225377556242,0.055020023717085,0.120765560937441,0.0776998009158876
"28",0.0335899723047078,0.520470888128618,0.0186934131881427,0.0794146048024675,0.084333705809484,0.26349741576658
"29",0.0422225343102438,0.566799301740958,0.0163682846593008,0.0867624843732468,0.140380650654261,0.147466744261989
"30",0.0415500844501995,0.616696727232567,0.0217151884246593,0.0624599078447937,0.149981888636527,0.107596203411253
"31",0.0262973200057072,0.471769331024949,0.00323561399843038,0.0270691116883445,0.363637292768345,0.107991330514224
"35",0.0438394706182332,0.573547681714125,0.0128679005558637,0.0518680236362691,0.230592323594962,0.0872845998805468
"36",0.0323027827323917,0.641760108448014,0.0153256916205351,0.0515386740590988,0.130962728632907,0.128110014507054
"37",0.0241077395646423,0.694356321544037,0.0107196432204692,0.0652194609263781,0.0783166033426909,0.127280231401782
"38",0.0184410514884166,0.502495363277529,0.00528057026428358,0.0238470285881249,0.0372259569732951,0.412710029408351
"42",0.0519593532335428,0.566448426553053,0.0105500487371495,0.0666547816859067,0.0882531666781265,0.216134223112221
"43",0.040716095980974,0.580500917119423,0.0178574124145556,0.0555659785306059,0.102206955049326,0.203152640905115
"44",0.0343632008790528,0.617659196742445,0.0129260304777221,0.0452593909705861,0.109549678409419,0.180242502520775
"45",0.0349626343996687,0.588691242627616,0.00952461154964018,0.030841453778965,0.154206915209298,0.181773142434812
"49",0.135583350401917,0.589922714784519,0.0166822887506084,0.0646829024832788,0.0785266990444155,0.114602044535262
"50",0.120979062193585,0.509387348878135,0.0227228165326276,0.0933748832966357,0.136614298345856,0.116921590753162
"51",0.121257454759357,0.499835730136923,0.0297629043956961,0.0363726561179254,0.194458271235717,0.118312983354381
"52",0.158341622991782,0.622242782972292,0.0117212422415985,0.0224925256069855,0.0430463544888464,0.142155471698495
"56",0.0694167744736409,0.588458738068587,0.0151744994662865,0.0482072073944383,0.122386000653834,0.156356779943213
"57",0.112516146527217,0.61603176588119,0.0225740062484793,0.0548572956631986,0.0827765080380562,0.111244277641859
"58",0.0915522425729072,0.549634056742993,0.00903901490172365,0.0359892643712755,0.0560105339755966,0.257774887435504
"59",0.170593349063352,0.66193891186689,0.0102730091786999,0.0315979434653168,0.037457227058829,0.0881395593669119
"63",0.0560101729694134,0.643512832179649,0.0126235515840784,0.0632278756042214,0.127057424578917,0.0975681430837206
"64",0.0587294944575822,0.667696447423657,0.00999131082743999,0.04862797879106,0.0794978510739854,0.135456917426276
"65",0.0594580153276007,0.653762092345902,0.0113836689145683,0.0391552544518178,0.08104360637552,0.155197362584591
"66",0.170595728539448,0.69048801763077,0.00708104294523307,0.0323722749792163,0.0322264237200676,0.0672365121852653
"70",0.046900526948326,0.621464414503451,0.103047246464788,0.061041282976361,0.0697128516668635,0.097833677440211
"71",0.0544414769762087,0.459266305335138,0.00886655158879507,0.0498204029068399,0.291282321666273,0.136322941526746
"72",0.0441320942835369,0.566017612153603,0.0632368036717714,0.0376861168388749,0.0713985776369389,0.217528795415275
"73",0.305455096888743,0.393213667353942,0.0164069437517262,0.0562285355237457,0.0682051955399759,0.160490560941867
"77",0.083853603139188,0.611262703877214,0.0163550023625927,0.0633625644621764,0.133043239197464,0.0921228869613651
"78",0.067169551215828,0.536311224933833,0.0119497279394043,0.0711243013666297,0.205316089295236,0.10812910524907
"79",0.0658202678441831,0.702001411435408,0.0188034271101701,0.0692685021079005,0.0832830493843605,0.0608233421179782
"80",0.0344565729355014,0.61937965916402,0.0131659036835946,0.0511750062553518,0.0725849507594411,0.209237907202091
"81",0.0538499678130967,0.582548283297974,0.0296311279647178,0.0485768383269825,0.186664976047387,0.098728806549842
"82",0.0576688335609803,0.711449813313384,0.0126216214766957,0.0558061777700672,0.0717084264766508,0.0907451274022221
"83",0.057060135426448,0.602152377678099,0.010339280158796,0.0481331026051452,0.0349458148457267,0.247369289285785
"84",0.0511726101731143,0.546547064745118,0.0573293013342885,0.0642947119295745,0.0736797562839916,0.206976555533913
"85",0.100517615060533,0.495377952790233,0.0193975592486984,0.054895830586462,0.136379689148537,0.193431353165537
"86",0.0321489945328264,0.634198837014632,0.0505546488779255,0.0685500910772455,0.0981700457335293,0.116377382763841
"87",0.0419982307064897,0.522681311471027,0.0230328976729903,0.0754750377361551,0.13716448283379,0.199648039579548
"88",0.128944280176512,0.52717844821326,0.0173505432111491,0.0623564599712036,0.109199573815655,0.15497069461222
"89",0.0925357633294626,0.527042048459363,0.130182522790557,0.0692756056722974,0.106173477433388,0.0747905823149322
"90",0.0461085200542403,0.694895664937807,0.0184778506712409,0.0508474384552354,0.0709253981763325,0.118745127705144
"91",0.0366437497084731,0.41260986336884,0.376654070816991,0.0232208997761093,0.0513332901163637,0.0995381262132224
"92",0.0731657066321877,0.582299343536346,0.0270083149590333,0.081719250735158,0.139407224607518,0.0964001595297566
"93",0.0402877909820797,0.502015621850209,0.0146304955625853,0.0546442898079617,0.0799867639270887,0.308435037870075
"94",0.0552771157143911,0.501406494927311,0.0406093952677721,0.0670573062375677,0.161889668996244,0.173760018856714
"95",0.0460725359456433,0.538010571330987,0.0853048223939708,0.0586226574995732,0.0801831276677852,0.191806285162041
"96",0.0407830105277357,0.525007563652824,0.0156189928428612,0.0780539548258564,0.196508154297168,0.144028323853555
"97",0.0441872363431926,0.590320228591435,0.010614609273008,0.0425153741723806,0.0448106892960804,0.267551862323904
"101",0.0381811105096255,0.31604529158309,0.0399169874401199,0.0572075346171954,0.335441817933032,0.213207257916937
"102",0.0721914824517476,0.419252388125288,0.177833891736742,0.0517445557203549,0.103583688255387,0.17539399371048
"103",0.0430535077815968,0.399987535908684,0.220054455728098,0.0317862496645784,0.0829694066567902,0.222148844260253
"104",0.00298563176549701,0.0088123515070961,0.00453260177077734,0.00144259057983255,0.127107827676838,0.855118996699959
"109",0.0142598509808442,0.0520397682906677,0.470507280997596,0.00357621107407858,0.0430405449650624,0.416576343691751
"110",0.0503550354402065,0.159718155399001,0.575003715113083,0.0648217580437655,0.0362409646773382,0.113860371326605
