,x,y
0,250.0,250.0
1,250.0,750.0
2,250.0,1250.0
3,250.0,1750.0
4,750.0,250.0
5,750.0,750.0
6,750.0,1250.0
7,750.0,1750.0
8,1250.0,250.0
9,1250.0,750.0
10,1250.0,1250.0
11,1250.0,1750.0
12,1750.0,250.0
13,1750.0,750.0
14,1750.0,1250.0
15,1750.0,1750.0
16,2250.0,250.0
17,2250.0,750.0
18,2250.0,1250.0
19,2250.0,1750.0
20,2750.0,250.0
21,2750.0,750.0
22,2750.0,1250.0
23,2750.0,1750.0
24,3250.0,250.0
25,3250.0,750.0
26,3250.0,1250.0
27,3250.0,1750.0
28,3750.0,250.0
29,3750.0,750.0
30,3750.0,1250.0
31,3750.0,1750.0
32,4250.0,250.0
33,4250.0,750.0
34,4250.0,1250.0
35,4250.0,1750.0
36,4750.0,250.0
37,4750.0,750.0
38,4750.0,1250.0
39,4750.0,1750.0
40,5250.0,250.0
41,5250.0,750.0
42,5250.0,1250.0
43,5250.0,1750.0
44,5750.0,250.0
45,5750.0,750.0
46,5750.0,1250.0
47,5750.0,1750.0
48,5750.0,2250.0
49,5750.0,2750.0
50,5750.0,3250.0
51,6250.0,250.0
52,6250.0,750.0
53,6250.0,1250.0
54,6250.0,1750.0
55,6250.0,2250.0
56,6250.0,2750.0
57,6250.0,3250.0
58,6750.0,250.0
59,6750.0,750.0
60,6750.0,1250.0
61,6750.0,1750.0
62,6750.0,2250.0
63,6750.0,2750.0
64,6750.0,3250.0
65,7250.0,1750.0
66,7250.0,2250.0
67,7250.0,2750.0
68,7250.0,3250.0
69,7750.0,2250.0
70,7750.0,2750.0
